Date;Y;mon;usrec;20 YR
1933-4-01;1933;4;1.0365;3.22
1933-5-01;1933;5;1.0365;3.17
1933-6-01;1933;6;1.0365;2.95
1933-7-01;1933;7;1.0365;3.14
1933-8-01;1933;8;1.0365;3.01
1933-9-01;1933;9;1.0365;3.01
1933-10-01;1933;10;1.0365;3.13
1933-11-01;1933;11;1.0365;3.29
1933-12-01;1933;12;1.0365;3.58
1934-1-01;1934;1;1.0365;3.53
1934-2-01;1934;2;1.0365;3.24
1934-3-01;1934;3;1.0365;2.91
1934-4-01;1934;4;1.0365;3.07
1934-5-01;1934;5;1.0365;2.72
1934-6-01;1934;6;1.0365;2.67
1934-7-01;1934;7;1.0365;2.58
1934-8-01;1934;8;1.0365;2.78
1934-9-01;1934;9;1.0365;3.16
1934-10-01;1934;10;1.0365;2.95
1934-11-01;1934;11;1.0365;2.92
1934-12-01;1934;12;1.0365;2.68
1935-1-01;1935;1;1.0365;2.48
1935-2-01;1935;2;1.0365;2.24
1935-3-01;1935;3;1.0365;2.67
1935-4-01;1935;4;1.0365;2.66
1935-5-01;1935;5;1.0365;2.59
1935-6-01;1935;6;1.0365;2.62
1935-7-01;1935;7;1.0365;2.69
1935-8-01;1935;8;1.0365;2.48
1935-9-01;1935;9;1.0365;2.81
1935-10-01;1935;10;1.0365;2.77
1935-11-01;1935;11;1.0365;2.79
1935-12-01;1935;12;1.0365;2.74
1936-1-01;1936;1;1.0365;2.72
1936-2-01;1936;2;1.0365;2.71
1936-3-01;1936;3;1.0365;2.65
1936-4-01;1936;4;1.0365;2.62
1936-5-01;1936;5;1.0365;2.63
1936-6-01;1936;6;1.0365;2.73
1936-7-01;1936;7;1.0365;2.73
1936-8-01;1936;8;1.0365;2.66
1936-9-01;1936;9;1.0365;2.71
1936-10-01;1936;10;1.0365;2.76
1936-11-01;1936;11;1.0365;2.69
1936-12-01;1936;12;1.0365;2.74
1937-1-01;1937;1;1.0365;2.72
1937-2-01;1937;2;1.0365;2.67
1937-3-01;1937;3;1.0365;3.03
1937-4-01;1937;4;1.0365;2.96
1937-5-01;1937;5;1.0365;3.15
1937-6-01;1937;6;14.8443;3.14
1937-7-01;1937;7;14.8443;3.05
1937-8-01;1937;8;14.8443;3.08
1937-9-01;1937;9;14.8443;3.17
1937-10-01;1937;10;14.8443;3.19
1937-11-01;1937;11;14.8443;3.12
1937-12-01;1937;12;14.8443;3.17
1938-1-01;1938;1;14.8443;3.12
1938-2-01;1938;2;14.8443;3.16
1938-3-01;1938;3;14.8443;3.24
1938-4-01;1938;4;14.8443;3.14
1938-5-01;1938;5;14.8443;2.75
1938-6-01;1938;6;14.8443;2.63
1938-7-01;1938;7;1.0365;2.68
1938-8-01;1938;8;1.0365;3.03
1938-9-01;1938;9;1.0365;2.71
1938-10-01;1938;10;1.0365;2.64
1938-11-01;1938;11;1.0365;2.68
1938-12-01;1938;12;1.0365;2.59
1939-1-01;1939;1;1.0365;2.56
1939-2-01;1939;2;1.0365;2.55
1939-3-01;1939;3;1.0365;2.5
1939-4-01;1939;4;1.0365;2.44
1939-5-01;1939;5;1.0365;2.32
1939-6-01;1939;6;1.0365;2.54
1939-7-01;1939;7;1.0365;2.44
1939-8-01;1939;8;1.0365;2.55
1939-9-01;1939;9;1.0365;2.81
1939-10-01;1939;10;1.0365;2.56
1939-11-01;1939;11;1.0365;2.45
1939-12-01;1939;12;1.0365;2.49
1940-1-01;1940;1;1.0365;2.51
1940-2-01;1940;2;1.0365;2.54
1940-3-01;1940;3;1.0365;2.43
1940-4-01;1940;4;1.0365;2.45
1940-5-01;1940;5;1.0365;2.82
1940-6-01;1940;6;1.0365;2.68
1940-7-01;1940;7;1.0365;2.65
1940-8-01;1940;8;1.0365;2.49
1940-9-01;1940;9;1.0365;2.46
1940-10-01;1940;10;1.0365;2.49
1940-11-01;1940;11;1.0365;2.46
1940-12-01;1940;12;1.0365;2.39
1941-1-01;1941;1;1.0365;2.73
1941-2-01;1941;2;1.0365;2.13
1941-3-01;1941;3;1.0365;2.6
1941-4-01;1941;4;1.0365;2.71
1941-5-01;1941;5;1.0365;2.7
1941-6-01;1941;6;1.0365;2.6
1941-7-01;1941;7;1.0365;2.54
1941-8-01;1941;8;1.0365;2.54
1941-9-01;1941;9;1.0365;2.46
1941-10-01;1941;10;1.0365;2.25
1941-11-01;1941;11;1.0365;2.27
1941-12-01;1941;12;1.0365;2.36
1942-1-01;1942;1;1.0365;2.4
1942-2-01;1942;2;1.0365;2.45
1942-3-01;1942;3;1.0365;2.43
1942-4-01;1942;4;1.0365;2.46
1942-5-01;1942;5;1.0365;2.4
1942-6-01;1942;6;1.0365;2.4
1942-7-01;1942;7;1.0365;2.44
1942-8-01;1942;8;1.0365;2.44
1942-9-01;1942;9;1.0365;2.46
1942-10-01;1942;10;1.0365;2.46
1942-11-01;1942;11;1.0365;2.49
1942-12-01;1942;12;1.0365;2.47
1943-1-01;1943;1;1.0365;2.46
1943-2-01;1943;2;1.0365;2.47
1943-3-01;1943;3;1.0365;2.47
1943-4-01;1943;4;1.0365;2.45
1943-5-01;1943;5;1.0365;2.43
1943-6-01;1943;6;1.0365;2.44
1943-7-01;1943;7;1.0365;2.45
1943-8-01;1943;8;1.0365;2.46
1943-9-01;1943;9;1.0365;2.45
1943-10-01;1943;10;1.0365;2.47
1943-11-01;1943;11;1.0365;2.49
1943-12-01;1943;12;1.0365;2.48
1944-1-01;1944;1;1.0365;2.49
1944-2-01;1944;2;1.0365;2.48
1944-3-01;1944;3;1.0365;2.49
1944-4-01;1944;4;1.0365;2.5
1944-5-01;1944;5;1.0365;2.5
1944-6-01;1944;6;1.0365;2.5
1944-7-01;1944;7;1.0365;2.5
1944-8-01;1944;8;1.0365;2.49
1944-9-01;1944;9;1.0365;2.49
1944-10-01;1944;10;1.0365;2.5
1944-11-01;1944;11;1.0365;2.5
1944-12-01;1944;12;1.0365;2.48
1945-1-01;1945;1;1.0365;2.42
1945-2-01;1945;2;1.0365;2.4
1945-3-01;1945;3;14.8443;2.41
1945-4-01;1945;4;14.8443;2.41
1945-5-01;1945;5;14.8443;2.45
1945-6-01;1945;6;14.8443;2.41
1945-7-01;1945;7;14.8443;2.41
1945-8-01;1945;8;14.8443;2.41
1945-9-01;1945;9;14.8443;2.42
1945-10-01;1945;10;14.8443;2.38
1945-11-01;1945;11;1.0365;2.36
1945-12-01;1945;12;1.0365;2.32
1946-1-01;1946;1;1.0365;2.22
1946-2-01;1946;2;1.0365;2.16
1946-3-01;1946;3;1.0365;2.12
1946-4-01;1946;4;1.0365;2.22
1946-5-01;1946;5;1.0365;2.24
1946-6-01;1946;6;1.0365;2.23
1946-7-01;1946;7;1.0365;2.3
1946-8-01;1946;8;1.0365;2.33
1946-9-01;1946;9;1.0365;2.37
1946-10-01;1946;10;1.0365;2.33
1946-11-01;1946;11;1.0365;2.37
1946-12-01;1946;12;1.0365;2.31
1947-1-01;1947;1;1.0365;2.31
1947-2-01;1947;2;1.0365;2.3
1947-3-01;1947;3;1.0365;2.3
1947-4-01;1947;4;1.0365;2.3
1947-5-01;1947;5;1.0365;2.9
1947-6-01;1947;6;1.0365;2.35
1947-7-01;1947;7;1.0365;2.36
1947-8-01;1947;8;1.0365;2.34
1947-9-01;1947;9;1.0365;2.37
1947-10-01;1947;10;1.0365;2.44
1947-11-01;1947;11;1.0365;2.49
1947-12-01;1947;12;1.0365;2.47
1948-1-01;1948;1;1.0365;2.48
1948-2-01;1948;2;1.0365;2.47
1948-3-01;1948;3;1.0365;2.48
1948-4-01;1948;4;1.0365;2.5
1948-5-01;1948;5;1.0365;2.44
1948-6-01;1948;6;1.0365;2.5
1948-7-01;1948;7;1.0365;2.5
1948-8-01;1948;8;1.0365;2.48
1948-9-01;1948;9;1.0365;2.49
1948-10-01;1948;10;1.0365;2.51
1948-11-01;1948;11;1.0365;2.51
1948-12-01;1948;12;14.8443;2.48
1949-1-01;1949;1;14.8443;2.46
1949-2-01;1949;2;14.8443;2.43
1949-3-01;1949;3;14.8443;2.45
1949-4-01;1949;4;14.8443;2.47
1949-5-01;1949;5;14.8443;2.5
1949-6-01;1949;6;14.8443;2.45
1949-7-01;1949;7;14.8443;2.42
1949-8-01;1949;8;14.8443;2.45
1949-9-01;1949;9;14.8443;2.39
1949-10-01;1949;10;14.8443;2.38
1949-11-01;1949;11;1.0365;2.38
1949-12-01;1949;12;1.0365;2.39
1951-3-01;1951;3;1.0365;2.58
1951-4-01;1951;4;1.0365;2.696
1951-5-01;1951;5;1.0365;2.709
1951-6-01;1951;6;1.0365;2.698
1951-7-01;1951;7;1.0365;2.684
1951-8-01;1951;8;1.0365;2.604
1951-9-01;1951;9;1.0365;2.652
1951-10-01;1951;10;1.0365;2.684
1951-11-01;1951;11;1.0365;2.733
1951-12-01;1951;12;1.0365;2.753
1952-1-01;1952;1;1.0365;2.737
1952-2-01;1952;2;1.0365;2.779
1952-3-01;1952;3;1.0365;2.786
1952-4-01;1952;4;1.0365;2.628
1952-5-01;1952;5;1.0365;2.653
1952-6-01;1952;6;1.0365;2.675
1952-7-01;1952;7;1.0365;2.675
1952-8-01;1952;8;1.0365;2.74
1952-9-01;1952;9;1.0365;2.833
1952-10-01;1952;10;1.0365;2.75
1952-11-01;1952;11;1.0365;2.772
1953-4-01;1953;4;1.0365;3.139
1953-5-01;1953;5;1.0365;3.215
1953-6-01;1953;6;1.0365;3.057
1953-7-01;1953;7;1.0365;3.111
1953-8-01;1953;8;14.8443;3.155
1953-9-01;1953;9;14.8443;2.977
1953-10-01;1953;10;14.8443;2.993
1953-11-01;1953;11;14.8443;3.039
1953-12-01;1953;12;14.8443;2.875
1954-1-01;1954;1;14.8443;2.824
1954-2-01;1954;2;14.8443;2.607
1954-3-01;1954;3;14.8443;2.626
1954-4-01;1954;4;14.8443;2.602
1954-5-01;1954;5;14.8443;2.674
1954-6-01;1954;6;1.0365;2.556
1954-7-01;1954;7;1.0365;2.527
1954-8-01;1954;8;1.0365;2.539
1954-9-01;1954;9;1.0365;2.548
1954-10-01;1954;10;1.0365;2.59
1954-11-01;1954;11;1.0365;2.68
1954-12-01;1954;12;1.0365;2.685
1955-1-01;1955;1;1.0365;2.817
1955-2-01;1955;2;1.0365;2.875
1955-3-01;1955;3;1.0365;2.835
1955-4-01;1955;4;1.0365;2.86
1955-5-01;1955;5;1.0365;2.821
1955-6-01;1955;6;1.0365;2.877
1955-7-01;1955;7;1.0365;2.97
1955-8-01;1955;8;1.0365;2.944
1955-9-01;1955;9;1.0365;2.916
1955-10-01;1955;10;1.0365;2.864
1955-11-01;1955;11;1.0365;2.933
1955-12-01;1955;12;1.0365;2.903
1956-1-01;1956;1;1.0365;2.852
1956-2-01;1956;2;1.0365;2.875
1956-3-01;1956;3;1.0365;2.989
1956-4-01;1956;4;1.0365;3.046
1956-5-01;1956;5;1.0365;2.93
1956-6-01;1956;6;1.0365;2.933
1956-7-01;1956;7;1.0365;3.064
1956-8-01;1956;8;1.0365;3.219
1956-9-01;1956;9;1.0365;3.138
1956-10-01;1956;10;1.0365;3.218
1956-11-01;1956;11;1.0365;3.313
1956-12-01;1956;12;1.0365;3.522
1957-1-01;1957;1;1.0365;3.116
1957-2-01;1957;2;1.0365;3.253
1957-3-01;1957;3;1.0365;3.185
1957-4-01;1957;4;1.0365;3.302
1957-5-01;1957;5;1.0365;3.349
1957-6-01;1957;6;1.0365;3.416
1957-7-01;1957;7;1.0365;3.407
1957-8-01;1957;8;1.0365;3.443
1957-9-01;1957;9;14.8443;3.586
1957-10-01;1957;10;14.8443;3.669
1957-11-01;1957;11;14.8443;3.716
1957-12-01;1957;12;14.8443;3.25
1958-1-01;1958;1;14.8443;3.298
1958-2-01;1958;2;14.8443;3.263
1958-3-01;1958;3;14.8443;3.282
1958-4-01;1958;4;14.8443;3.167
1958-5-01;1958;5;1.0365;3.16
1958-6-01;1958;6;1.0365;3.279
1958-7-01;1958;7;1.0365;3.573
1958-8-01;1958;8;1.0365;3.725
1958-9-01;1958;9;1.0365;3.716
1958-10-01;1958;10;1.0365;3.68
1958-11-01;1958;11;1.0365;3.675
1958-12-01;1958;12;1.0365;3.784
1959-1-01;1959;1;1.0365;4.02
1959-2-01;1959;2;1.0365;4.015
1959-3-01;1959;3;1.0365;3.983
1959-4-01;1959;4;1.0365;4.019
1959-5-01;1959;5;1.0365;4.048
1959-6-01;1959;6;1.0365;4.102
1959-7-01;1959;7;1.0365;4.048
1959-8-01;1959;8;1.0365;4.073
1959-9-01;1959;9;1.0365;4.086
1959-10-01;1959;10;1.0365;4.06
1959-11-01;1959;11;1.0365;4.141
1959-12-01;1959;12;1.0365;4.302
1960-1-01;1960;1;1.0365;4.34
1960-2-01;1960;2;1.0365;4.165
1960-3-01;1960;3;1.0365;4.047
1960-4-01;1960;4;1.0365;4.253
1960-5-01;1960;5;14.8443;4.204
1960-6-01;1960;6;14.8443;3.93
1960-7-01;1960;7;14.8443;3.747
1960-8-01;1960;8;14.8443;3.82
1960-9-01;1960;9;14.8443;3.863
1960-10-01;1960;10;14.8443;3.909
1960-11-01;1960;11;14.8443;3.982
1960-12-01;1960;12;14.8443;3.85
1961-1-01;1961;1;14.8443;3.933
1961-2-01;1961;2;14.8443;3.834
1961-3-01;1961;3;1.0365;3.854
1961-4-01;1961;4;1.0365;3.803
1961-5-01;1961;5;1.0365;3.8
1961-6-01;1961;6;1.0365;3.926
1961-7-01;1961;7;1.0365;3.953
1961-8-01;1961;8;1.0365;3.996
1961-9-01;1961;9;1.0365;3.983
1961-10-01;1961;10;1.0365;3.926
1961-11-01;1961;11;1.0365;3.96
1961-12-01;1961;12;1.0365;4.011
1962-1-01;1962;1;1.0365;4.058
1962-2-01;1962;2;1.0365;4.104
1962-3-01;1962;3;1.0365;4
1962-4-01;1962;4;1.0365;3.964
1962-5-01;1962;5;1.0365;3.958
1962-6-01;1962;6;1.0365;3.999
1962-7-01;1962;7;1.0365;4.093
1962-8-01;1962;8;1.0365;4.017
1962-9-01;1962;9;1.0365;3.995
1962-10-01;1962;10;1.0365;3.951
1962-11-01;1962;11;1.0365;3.933
1962-12-01;1962;12;1.0365;3.896
1963-1-01;1963;1;1.0365;3.945
1963-2-01;1963;2;1.0365;4.028
1963-3-01;1963;3;1.0365;4.04
1963-4-01;1963;4;1.0365;4.088
1963-5-01;1963;5;1.0365;4.062
1963-6-01;1963;6;1.0365;4.06
1963-7-01;1963;7;1.0365;4.025
1963-8-01;1963;8;1.0365;4.017
1963-9-01;1963;9;1.0365;4.065
1963-10-01;1963;10;1.0365;4.107
1963-11-01;1963;11;1.0365;4.127
1963-12-01;1963;12;1.0365;4.194
1964-1-01;1964;1;1.0365;4.17
1964-2-01;1964;2;1.0365;4.176
1964-3-01;1964;3;1.0365;4.221
1964-4-01;1964;4;1.0365;4.208
1964-5-01;1964;5;1.0365;4.155
1964-6-01;1964;6;1.0365;4.138
1964-7-01;1964;7;1.0365;4.193
1964-8-01;1964;8;1.0365;4.206
1964-9-01;1964;9;1.0365;4.197
1964-10-01;1964;10;1.0365;4.174
1964-11-01;1964;11;1.0365;4.196
1964-12-01;1964;12;1.0365;4.218
1965-1-01;1965;1;1.0365;4.204
1965-2-01;1965;2;1.0365;4.204
1965-3-01;1965;3;1.0365;4.202
1965-4-01;1965;4;1.0365;4.203
1965-5-01;1965;5;1.0365;4.211
1965-6-01;1965;6;1.0365;4.204
1965-7-01;1965;7;1.0365;4.218
1965-8-01;1965;8;1.0365;4.249
1965-9-01;1965;9;1.0365;4.315
1965-10-01;1965;10;1.0365;4.327
1965-11-01;1965;11;1.0365;4.435
1965-12-01;1965;12;1.0365;4.505
1966-1-01;1966;1;1.0365;4.538
1966-2-01;1966;2;1.0365;4.72
1966-3-01;1966;3;1.0365;4.612
1966-4-01;1966;4;1.0365;4.674
1966-5-01;1966;5;1.0365;4.729
1966-6-01;1966;6;1.0365;4.832
1966-7-01;1966;7;1.0365;4.801
1966-8-01;1966;8;1.0365;5.083
1966-9-01;1966;9;1.0365;4.885
1966-10-01;1966;10;1.0365;4.711
1966-11-01;1966;11;1.0365;4.857
1966-12-01;1966;12;1.0365;4.628
1967-1-01;1967;1;1.0365;4.509
1967-2-01;1967;2;1.0365;4.754
1967-3-01;1967;3;1.0365;4.632
1967-4-01;1967;4;1.0365;4.898
1967-5-01;1967;5;1.0365;4.922
1967-6-01;1967;6;1.0365;5.055
1967-7-01;1967;7;1.0365;5.132
1967-8-01;1967;8;1.0365;5.179
1967-9-01;1967;9;1.0365;5.267
1967-10-01;1967;10;1.0365;5.499
1967-11-01;1967;11;1.0365;5.724
1967-12-01;1967;12;1.0365;5.776
1968-1-01;1968;1;1.0365;5.565
1968-2-01;1968;2;1.0365;5.634
1968-3-01;1968;3;1.0365;5.945
1968-4-01;1968;4;1.0365;5.683
1968-5-01;1968;5;1.0365;5.716
1968-6-01;1968;6;1.0365;5.549
1968-7-01;1968;7;1.0365;5.431
1968-8-01;1968;8;1.0365;5.414
1968-9-01;1968;9;1.0365;5.62
1968-10-01;1968;10;1.0365;5.831
1968-11-01;1968;11;1.0365;6.022
1968-12-01;1968;12;1.0365;6.414
1969-1-01;1969;1;1.0365;6.554
1969-2-01;1969;2;1.0365;6.47
1969-3-01;1969;3;1.0365;6.459
1969-4-01;1969;4;1.0365;6.229
1969-5-01;1969;5;1.0365;6.626
1969-6-01;1969;6;1.0365;6.329
1969-7-01;1969;7;1.0365;6.242
1969-8-01;1969;8;1.0365;6.104
1969-9-01;1969;9;1.0365;6.245
1969-10-01;1969;10;1.0365;6.396
1969-11-01;1969;11;1.0365;6.664
1969-12-01;1969;12;1.0365;6.629
1970-1-01;1970;1;14.8443;6.434
1970-2-01;1970;2;14.8443;6.218
1970-3-01;1970;3;14.8443;6.72
1970-4-01;1970;4;14.8443;6.831
1970-5-01;1970;5;14.8443;7.24
1970-6-01;1970;6;14.8443;7.34
1970-7-01;1970;7;14.8443;6.92
1970-8-01;1970;8;14.8443;7.07
1970-9-01;1970;9;14.8443;6.88
1970-10-01;1970;10;14.8443;6.88
1970-11-01;1970;11;14.8443;6.324
1970-12-01;1970;12;1.0365;6.394
1971-1-01;1971;1;1.0365;5.981
1971-2-01;1971;2;1.0365;6.323
1971-3-01;1971;3;1.0365;5.914
1971-4-01;1971;4;1.0365;6
1971-5-01;1971;5;1.0365;6.32
1971-6-01;1971;6;1.0365;6.38
1971-7-01;1971;7;1.0365;6.38
1971-8-01;1971;8;1.0365;6.27
1971-9-01;1971;9;1.0365;6.05
1971-10-01;1971;10;1.0365;5.92
1971-11-01;1971;11;1.0365;5.86
1971-12-01;1971;12;1.0365;6
1972-1-01;1972;1;1.0365;6.01
1972-2-01;1972;2;1.0365;6.06
1972-3-01;1972;3;1.0365;6.06
1972-4-01;1972;4;1.0365;6.16
1972-5-01;1972;5;1.0365;6.07
1972-6-01;1972;6;1.0365;6.01
1972-7-01;1972;7;1.0365;6.01
1972-8-01;1972;8;1.0365;5.94
1972-9-01;1972;9;1.0365;6.05
1972-10-01;1972;10;1.0365;6
1972-11-01;1972;11;1.0365;5.79
1972-12-01;1972;12;1.0365;5.96
1973-1-01;1973;1;1.0365;6.94
1973-2-01;1973;2;1.0365;6.88
1973-3-01;1973;3;1.0365;6.91
1973-4-01;1973;4;1.0365;6.86
1973-5-01;1973;5;1.0365;6.94
1973-6-01;1973;6;1.0365;7.042
1973-7-01;1973;7;1.0365;7.321
1973-8-01;1973;8;1.0365;7.219
1973-9-01;1973;9;1.0365;7.011
1973-10-01;1973;10;1.0365;7.411
1973-11-01;1973;11;1.0365;7.247
1973-12-01;1973;12;14.8443;7.491
1974-1-01;1974;1;14.8443;7.534
1974-2-01;1974;2;14.8443;7.623
1974-3-01;1974;3;14.8443;7.744
1974-4-01;1974;4;14.8443;7.938
1974-5-01;1974;5;14.8443;8.023
1974-6-01;1974;6;14.8443;7.862
1974-7-01;1974;7;14.8443;7.974
1974-8-01;1974;8;14.8443;8.163
1974-9-01;1974;9;14.8443;8.427
1974-10-01;1974;10;14.8443;8.049
1974-11-01;1974;11;14.8443;7.971
1974-12-01;1974;12;14.8443;8.1
1975-1-01;1975;1;14.8443;7.712
1975-2-01;1975;2;14.8443;7.679
1975-3-01;1975;3;14.8443;8.313
1975-4-01;1975;4;1.0365;8.252
1975-5-01;1975;5;1.0365;8.177
1975-6-01;1975;6;1.0365;8.04
1975-7-01;1975;7;1.0365;8.176
1975-8-01;1975;8;1.0365;8.359
1975-9-01;1975;9;1.0365;8.558
1975-10-01;1975;10;1.0365;8.179
1975-11-01;1975;11;1.0365;8.32
1975-12-01;1975;12;1.0365;8.076
1976-1-01;1976;1;1.0365;7.981
1976-2-01;1976;2;1.0365;8.041
1976-3-01;1976;3;1.0365;7.885
1976-4-01;1976;4;1.0365;7.952
1976-5-01;1976;5;1.0365;8.132
1976-6-01;1976;6;1.0365;8.015
1976-7-01;1976;7;1.0365;8.015
1976-8-01;1976;8;1.0365;7.877
1976-9-01;1976;9;1.0365;7.824
1976-10-01;1976;10;1.0365;7.816
1976-11-01;1976;11;1.0365;7.804
1976-12-01;1976;12;1.0365;7.324
1977-1-01;1977;1;1.0365;7.726
1977-2-01;1977;2;1.0365;7.856
1977-3-01;1977;3;1.0365;7.823
1977-4-01;1977;4;1.0365;7.772
1977-5-01;1977;5;1.0365;7.755
1977-6-01;1977;6;1.0365;7.56
1977-7-01;1977;7;1.0365;7.629
1977-8-01;1977;8;1.0365;7.612
1977-9-01;1977;9;1.0365;7.665
1977-10-01;1977;10;1.0365;7.856
1977-11-01;1977;11;1.0365;7.838
1977-12-01;1977;12;1.0365;7.98
1978-1-01;1978;1;1.0365;8.158
1978-2-01;1978;2;1.0365;8.223
1978-3-01;1978;3;1.0365;8.288
1978-4-01;1978;4;1.0365;8.357
1978-5-01;1978;5;1.0365;8.5
1978-6-01;1978;6;1.0365;8.528
1978-7-01;1978;7;1.0365;8.456
1978-8-01;1978;8;1.0365;8.29
1978-9-01;1978;9;1.0365;8.482
1978-10-01;1978;10;1.0365;8.69
1978-11-01;1978;11;1.0365;8.513
1978-12-01;1978;12;1.0365;8.647
1979-1-01;1979;1;1.0365;8.63
1979-2-01;1979;2;1.0365;8.782
1979-3-01;1979;3;1.0365;8.789
1979-4-01;1979;4;1.0365;8.952
1979-5-01;1979;5;1.0365;8.902
1979-6-01;1979;6;1.0365;8.67
1979-7-01;1979;7;1.0365;8.763
1979-8-01;1979;8;1.0365;8.796
1979-9-01;1979;9;1.0365;8.883
1979-10-01;1979;10;1.0365;9.745
1979-11-01;1979;11;1.0365;9.69
1979-12-01;1979;12;1.0365;9.793
1980-1-01;1980;1;1.0365;10.756
1980-2-01;1980;2;14.8443;11.471
1980-3-01;1980;3;14.8443;11.699
1980-4-01;1980;4;14.8443;10.73
1980-5-01;1980;5;14.8443;10.439
1980-6-01;1980;6;14.8443;10.039
1980-7-01;1980;7;14.8443;10.885
1980-8-01;1980;8;1.0365;11.06
1980-9-01;1980;9;1.0365;11.546
1980-10-01;1980;10;1.0365;11.871
1980-11-01;1980;11;1.0365;11.835
1980-12-01;1980;12;1.0365;11.41
1981-1-01;1981;1;1.0365;11.739
1981-2-01;1981;2;1.0365;12.222
1981-3-01;1981;3;1.0365;12.161
1981-4-01;1981;4;1.0365;12.681
1981-5-01;1981;5;1.0365;12.309
1981-6-01;1981;6;1.0365;12.599
1981-7-01;1981;7;1.0365;13.3086
1981-8-01;1981;8;14.8443;14.2628
1981-9-01;1981;9;14.8443;14.8443
1981-10-01;1981;10;14.8443;14.0273
1981-11-01;1981;11;14.8443;12.8863
1981-12-01;1981;12;14.8443;13.5333
1982-1-01;1982;1;14.8443;13.6812
1982-2-01;1982;2;14.8443;13.868
1982-3-01;1982;3;14.8443;13.0628
1982-4-01;1982;4;14.8443;12.8864
1982-5-01;1982;5;14.8443;13.0546
1982-6-01;1982;6;14.8443;13.4239
1982-7-01;1982;7;14.8443;13.153
1982-8-01;1982;8;14.8443;12.2863
1982-9-01;1982;9;14.8443;11.6871
1982-10-01;1982;10;14.8443;10.7663
1982-11-01;1982;11;14.8443;10.9001
1982-12-01;1982;12;1.0365;11.0883
1983-1-01;1983;1;1.0365;11.6527
1983-2-01;1983;2;1.0365;11.407
1983-3-01;1983;3;1.0365;11.304
1983-4-01;1983;4;1.0365;10.8174
1983-5-01;1983;5;1.0365;11.4892
1983-6-01;1983;6;1.0365;11.4832
1983-7-01;1983;7;1.0365;11.7988
1983-8-01;1983;8;1.0365;11.948
1983-9-01;1983;9;1.0365;11.4336
1983-10-01;1983;10;1.0365;11.7415
1983-11-01;1983;11;1.0365;11.5347
1983-12-01;1983;12;1.0365;11.7457
1984-1-01;1984;1;1.0365;11.5788
1984-2-01;1984;2;1.0365;11.9146
1984-3-01;1984;3;1.0365;12.136
1984-4-01;1984;4;1.0365;12.4369
1984-5-01;1984;5;1.0365;13.7112
1984-6-01;1984;6;1.0365;13.5535
1984-7-01;1984;7;1.0365;12.6718
1984-8-01;1984;8;1.0365;12.3845
1984-9-01;1984;9;1.0365;11.9785
1984-10-01;1984;10;1.0365;11.5076
1984-11-01;1984;11;1.0365;11.6435
1984-12-01;1984;12;1.0365;11.6386
1985-1-01;1985;1;1.0365;11.6036
1985-2-01;1985;2;1.0365;12.2406
1985-3-01;1985;3;1.0365;11.8446
1985-4-01;1985;4;1.0365;11.8286
1985-5-01;1985;5;1.0365;11.2392
1985-6-01;1985;6;1.0365;11.3142
1985-7-01;1985;7;1.0365;11.5989
1985-8-01;1985;8;1.0365;11.3873
1985-9-01;1985;9;1.0365;11.5441
1985-10-01;1985;10;1.0365;11.1412
1985-11-01;1985;11;1.0365;10.3403
